Chemical,Dose,time_end,se,sd,mean,median,n
OBS,0,46,182.1069049994669,630.8368237363909,1456.2727272727273,1425.6999999999998,12
OBS,0,47,212.0666142841428,734.6203010584942,1338.0545454545454,1391,12
OBS,0,48,240.51129713783914,833.1555728740649,1446.0111111111112,1532.3,12
OBS,0,49,232.53045594032372,805.5091279915938,1305.1555555555556,1637.8000000000002,12
OBS,0,50,199.1799190384115,689.9794792439684,1186.1200000000001,1175.3,12
OBS,0.1,1,132.36291925588299,458.5186023786524,1182.0454545454545,1126.1,12
OBS,0.1,2,151.37482037123692,524.3777597391893,911.8909090909091,860,12
OBS,0.1,3,161.7488144305762,560.314329315576,913.1181818181818,729.6,12
OBS,0.1,4,150.50062538881437,521.349459488634,913.290909090909,771.1999999999999,12
OBS,0.1,5,162.9621606478949,564.5174839067109,921.0181818181818,935.6,12
OBS,0.1,6,186.80139376386145,647.0990098473761,983.8636363636364,895.5,12
OBS,0.1,7,193.32386216351617,669.693503165305,1029.0272727272727,845.8000000000001,12
OBS,0.1,8,217.04376262389897,751.8616486610238,1069.7545454545455,839.6999999999999,12
OBS,0.1,9,203.24511530154763,704.0617321849503,1087.6454545454546,842.8000000000001,12
OBS,0.1,10,177.33497840074853,614.3063850984518,1002.625,962.5,12
OBS,0.1,11,137.58190609174733,476.5977031061528,893.5166666666667,967.95,12
OBS,0.1,12,121.78675372896015,421.8816902948748,829.2666666666667,720.25,12
OBS,0.1,13,126.24032123615689,437.30930068968,883.7083333333334,729.0500000000001,12
OBS,0.1,14,156.97519579844325,543.7780293019525,978.6833333333333,839,12
OBS,0.1,15,118.86981821227027,411.7771292602567,758.5272727272727,692.7,12
OBS,0.1,16,157.65602619214076,546.1364949683949,761.175,682.8,12
OBS,0.1,17,159.2035976828147,551.4974398687796,790.7272727272727,888.4,12
OBS,0.1,18,156.29302290517765,541.4149130805879,832.9916666666667,994.25,12
OBS,0.1,19,125.69771929658724,435.4296724344399,928.8818181818182,912.6,12
OBS,0.1,20,113.2881844115825,392.4417825961867,961.3545454545455,913.2,12
OBS,0.1,21,99.59433358161326,345.00489181863475,1547.2083333333333,1605.1,12
OBS,0.1,22,95.68928261209916,331.47739844794575,1457.375,1533.3,12
OBS,0.1,23,91.49792385319157,316.9581058015922,1430.8416666666667,1519,12
OBS,0.1,24,90.28376348066317,312.75213089408027,1538.4416666666666,1525.05,12
OBS,0.1,25,73.60758784688143,254.98416394677608,1624.875,1567.15,12
OBS,0.1,26,113.88735319240553,394.5173641375759,1294.7166666666667,1237.9,12
OBS,0.1,27,104.02715005339867,360.3606185181559,1540.0083333333334,1514.05,12
OBS,0.1,28,147.14655204175796,509.73060858980534,1478.5666666666666,1530.7,12
OBS,0.1,29,165.04897015887454,571.7464041041803,1453.3833333333334,1596,12
OBS,0.1,30,165.01281911865163,571.6211732273553,1414.975,1691.1999999999998,12
OBS,0.1,31,73.97783771836568,256.26674712458924,1538.625,1542.8999999999999,12
OBS,0.1,32,78.8114112001145,273.01073682960237,1511.2333333333333,1581.2,12
OBS,0.1,33,74.4562097592751,257.9238764841403,1608.9666666666667,1599.9,12
OBS,0.1,34,60.505864353896484,209.5984624336387,1624.25,1620.1000000000001,12
OBS,0.1,35,91.22234197555468,316.00346217416757,1578.3083333333334,1576.75,12
OBS,0.1,36,102.8829096889304,356.39685362349553,1265.55,1358.05,12
OBS,0.1,37,165.96574177577077,574.922194142983,1238.725,1279.75,12
OBS,0.1,38,159.14279203776638,551.2868029355583,1417.95,1534.9,12
OBS,0.1,39,179.27220603686237,621.0171384816032,1489.8416666666667,1438.85,12
OBS,0.1,40,197.11390817676255,682.8226076812382,1431.9083333333333,1632.9499999999998,12
OBS,0.1,41,136.1106595251218,471.50115549843946,1475.081818181818,1649.3000000000002,12
OBS,0.1,42,79.221658213209,274.43187417026843,1491.1916666666666,1528.25,12
OBS,0.1,43,59.955584991868534,207.6922388068607,1528.8666666666666,1504.6,12
OBS,0.1,44,74.91282745412643,259.50564657837526,1600.4666666666667,1640.3500000000001,12
OBS,0.1,45,73.77526014077067,255.56499781085165,1592.1583333333333,1592.3000000000002,12
OBS,0.1,46,116.85250704532523,404.78895838860694,1371.3083333333334,1439.55,12
OBS,0.1,47,155.2835042288976,537.9178378035746,1442.175,1612.5,12
OBS,0.1,48,161.69941926505663,560.1432194429196,1389.4416666666666,1333.5,12
OBS,0.1,49,146.95553311162263,509.06889960540167,1350.75,1430.8,12
OBS,0.1,50,148.19059126133428,513.3472665366069,1352.4833333333333,1395.2,12
OBS,1,1,165.08033353043152,571.855050010247,825.06,724.15,12
OBS,1,2,154.15312030575316,534.0020730296841,729.1,706.1,12
OBS,1,3,160.9569462479161,557.5712174650469,786.2363636363636,654.9,12
OBS,1,4,164.37045480267142,569.3959579628613,956.2777777777778,668,12
OBS,1,5,154.23623547446084,534.2899924198468,996.66,831.5,12
OBS,1,6,153.93275891933632,533.2387187950835,968.5699999999999,830.5999999999999,12
OBS,1,7,172.4241685173192,597.2948406496298,876.5,816,12
OBS,1,8,139.2577094414844,482.4028561966302,915.67,903.8499999999999,12
OBS,1,9,125.7825458950957,435.7235203913397,895.82,855.5999999999999,12
OBS,1,10,119.45142469268048,413.79187320842027,1172.29,1099.6,12
OBS,1,11,116.10851788704362,402.21170434375864,1067.42,1045.85,12
OBS,1,12,118.98873701757256,412.1890760857746,1029.6777777777777,914.1,12
OBS,1,13,115.78109053695223,401.0774627314668,988.2111111111112,864.4000000000001,12
OBS,1,14,137.11707318659944,474.98747468866077,987.9888888888889,849.4,12
OBS,1,15,186.846860262127,647.2565104174524,996.9444444444445,1004.8,12
OBS,1,16,198.9103944223611,689.0458185861888,980.9300000000001,1053.95,12
OBS,1,17,195.28576648745448,676.4897391026054,979.26,1074.3,12
OBS,1,18,181.80340073419563,629.7854541208635,942.76,1025.3000000000002,12
OBS,1,19,195.6130291805359,677.6234103262831,957.58,1120.85,12
OBS,1,20,212.1233007308791,734.8166686701899,905.09,1093.5,12
OBS,1,21,138.9082805907073,481.1923991502776,1294.825,1273.45,12
OBS,1,22,84.73032571186124,293.5144581496065,1530.3,1491.15,12
OBS,1,23,56.383136093288456,195.31691280729237,1471.125,1473.25,12
OBS,1,24,50.15739037792747,173.7502970192734,1513.5,1484.35,12
OBS,1,25,72.61896242513869,251.55946502655084,1404.3777777777777,1343.2,12
OBS,1,26,102.05653030937255,353.53419148005264,1279.2363636363636,1211.6,12
OBS,1,27,151.42215656897773,524.5417371382376,1571.6,1600.1,12
OBS,1,28,134.4298403245982,465.678626991151,1476.2181818181818,1331.1999999999998,12
